CLE;TRADUCTION
MODE_AFFICHAGE;"Display mode"
MODE_OUVERTURE;"Open mode"
MODULE;Module
MSG_AIDE_SELECT;"Selection guide"
MY_DATA;"Mes donn"
MY_NEWS;"Mes actualit"
NAME;Nom
"Name or content";"Name or content"
"Name or path";"Name or path"
NAVIGATION;Navigation
NB_USE;"NB Use"
Neutre;Neutral
NEWEST_PRODUCTS;"Produits les plus r"
NEWS;Actualit
NEWSLETTERS_SETTING;Param
Newsletter_subscription;"Inscription "
NEWS_SETTINGS;Param
NEW_EMAIL_LABEL;"Nouvelle adresse "
NEW_PASSWORD_LABEL;"Nouveau mot de passe"
NEW_PASSWORD_REPEAT_LABEL;"Confirmation du nouveau mot de passe"
NEW_RUBRIQUE;"New topic"
"Next state";"Following State"
NE_PAS_ACTIVER;"Not activate"
NE_PAS_AFFICHER;"Ne pas afficher"
NO;Non
"No template";"No template"
NOIR;Black
Nom;Name
NOMBRE_DE_TRANCHE_ONGLET;"Nombre de tranche à prendre en compte pour cet onglet"
NOMBRE_ITEM_PAR_LIGNE;"Nombre d'item par ligne"
NOMBRE_ITEM_PAR_LIGNE_OBLIGATOIRE;"Number of item by row is required"
NOM_SERVICE;"Service Name"
NON;No
NONE;No
NONE_F;No
NOTICES;Notices
NOT_DISPLAY;"Not display"
NUMBER;Number
NUMERO_TELEPHONE;"Phone number"
NUM_TEL;"Phone number"
OFFLINE;Offline
OK;OK
"One criteria";"One criteria"
ONE_GABARIT_SITE;"Only one template/site"
ONE_SITE_LAYOUT;"A single template / site"
ONE_SITE_USE;"1-time use / site"
ONE_USE;Use
ONE_USE_SITE;"Only one use/site"
ONGLET;Onglet
ONLY_MOBILE;"Only mobile"
ONLY_WEB_TAB;"Only Web / Tab"
ON_HOME_PAGE;"On homepage"
OR;ou
Order;Ordre
ORDER_SELECTED_ITEMS;"ORDER_SELECTED_ITEMS - N/A"
ORDRE;Order
"Ordre d_affichage";"Display order"
OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED;"OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED - N/A"
OUI;Yes
"Output format";"Output Format"
OUVRIR_NIVEAU_3;"Ouvrir le niveau 3"
OU_A_PARTIR_DE;"ou à partir de "
"Package name";"Package name"
PAGE;Page
pages;pages
pages;pages
PAGE_CONTENT_HIER;"Page containing hierarchical elements"
PAGE_MENU_NAV;"Page used in navigation menus"
PAGE_NOT_FOUND;"Page not found"
PAGE_TITLES;"Page titles"
PARAMETER;Parameter
PARAMETRAGE;"Setting for "
PARAMETRES;Settings
PARTAGE_COMPARAISON;"Partager ma comparaison :"
"Partners with package access";"Partners with access to the package"
PASSWORD;Password
PAYANT;Paying
"Pays source";"Source country"
PAYS_CIBLE;"Pays cible"
PAYS_CIBLES;"Pays cibles"
PAYS_CIBLES_OBLIGATOIRE;"Pays cibles obligatoire"
PAYS_SOURCE;"Source country"
PDF_ICONE;"Pdf icon"
PER_MONTH;"/ month"
Phone;T
PHOTO;Photo
"PHP Class";Class
Picto;Picto
PICTO_RUBRIQUE;"Picto / Topic"
Pied;Footer
"Player size";"Player size"
PLEASE_CHOOSE_A_SUBJECT;"Veuillez s"
PLUGIN;Plugin
PLUGINS;plugins
PLUGIN_CONTENT;Cont.
PLUGIN_NAV;Nav.
Poll;Sondage
"Poll already voted";"Vote not taken into account. You have already voted!"
POPUP_ANCHOR_PROPERTIES;"Anchor properties"
POPUP_ANCHOR_TITLE;Anchor
POPUP_BUTTON_BACK;Back
POPUP_BUTTON_CANCEL;Cancel
POPUP_BUTTON_CLOSE;Close
POPUP_BUTTON_OK;OK
POPUP_BUTTON_PROPERTIES;Properties
POPUP_BUTTON_RESTORE;Restore
POPUP_BUTTON_SAVE;Save
POPUP_BUTTON_SELECT;Select
POPUP_COLOR_CUSTOM_PALETT;"custom palett"
POPUP_COLOR_TITLE;"Color picker"
POPUP_CONTENT_DATA;"Contents :"
POPUP_ICONS_TITLE;Icons
POPUP_LABEL_ACTION;Action
POPUP_LABEL_ADD;Add
POPUP_LABEL_ALIGNMENT;Alignment
POPUP_LABEL_ALT;"Tool tip"
POPUP_LABEL_BACKGROUND_COLOR;"Background color"
POPUP_LABEL_BORDER;Border
POPUP_LABEL_CAPTION;Legend
POPUP_LABEL_CENTER;Center
POPUP_LABEL_COLOR;Color
POPUP_LABEL_DEL;Delete
POPUP_LABEL_FILE;File
POPUP_LABEL_FOLDER;Folder
POPUP_LABEL_HEIGHT;Height
POPUP_LABEL_HOR_ALIGN;"Align. Hor."
POPUP_LABEL_HOR_SPACE;"Horizontal space"
POPUP_LABEL_LEFT;Left
POPUP_LABEL_MIDDLE;Middle
POPUP_LABEL_NAME;Name
POPUP_LABEL_NONE;No
POPUP_LABEL_NONE2;No
POPUP_LABEL_ORIGINAL_SIZE;"Return to original size"
POPUP_LABEL_PRESERVE;"Preserve the dimensions"
POPUP_LABEL_QUALITY;Quality
POPUP_LABEL_QUALITY_BEST;Automatic
POPUP_LABEL_QUALITY_HIGH;High
POPUP_LABEL_QUALITY_LOW;Low
POPUP_LABEL_QUALITY_MEDIUM;Average
POPUP_LABEL_RIGHT;Right
POPUP_LABEL_TITLE;Title
POPUP_LABEL_TOP;Top
POPUP_LABEL_VERT_ALIGN;"Vert. Align."
POPUP_LABEL_VERT_SPACE;"Vertical space"
POPUP_LABEL_WIDTH;Width
POPUP_LINK_CURRENT_PAGE;"Current Page"
POPUP_LINK_CUSTOM;personalized
POPUP_LINK_NEW_PAGE;"new window"
POPUP_LINK_PARENT_FRAME;"Parent frame"
POPUP_LINK_TARGET;Target
POPUP_LINK_TITLE;"Properties links"
POPUP_LINK_TOP_FRAME;"The entire window"
POPUP_MEDIA_BROWSER;Library
POPUP_MEDIA_FILE;Files
POPUP_MEDIA_FLASH;Flash
POPUP_MEDIA_IMAGE;Pictures
POPUP_MEDIA_LABEL_ADD_FILE;"Adding a File"
POPUP_MEDIA_LABEL_ADD_FOLDER;"Adding a folder"
POPUP_MEDIA_LABEL_FILE_NAME;File
POPUP_MEDIA_LABEL_HTTP;Url
POPUP_MEDIA_LABEL_LAST_ACCES;"Creation date"
POPUP_MEDIA_LABEL_NEW_FILE;File
POPUP_MEDIA_LABEL_NEW_FILE_COMMENT;"(upload multiple, sauf IE)"
POPUP_MEDIA_LABEL_NEW_FOLDER;"New folder"
POPUP_MEDIA_LABEL_NO_FILE;"No file"
POPUP_MEDIA_LABEL_PATH;Path
POPUP_MEDIA_LABEL_PROPERTIES;Properties
POPUP_MEDIA_LABEL_REPLACE;Replace
POPUP_MEDIA_LABEL_SIZE;Size
POPUP_MEDIA_LIBRARY_TITLE;"Media Library"
POPUP_MEDIA_MSG_DEL_FILE;"Are you sure you want to delete this file?"
POPUP_MEDIA_MSG_DEL_FOLDER;"Are you sure you want to delete this?"
POPUP_MEDIA_MSG_DEL_MEDIA_FORMAT;"Are you sure you want to remove this custom size?"
POPUP_MEDIA_MSG_DEL_ROOT;"You can not delete the root folder: Please select a different folder"
POPUP_MEDIA_MSG_EMPTY_FOLDER;"The file must be empty to be deleted"
POPUP_MEDIA_MSG_MOVE_FOLDER;"Are you sure to want to move this folder?"
POPUP_MEDIA_MSG_MOVE_MEDIA;"Are you sure to want to move this file?"
POPUP_MEDIA_MSG_REAL_SIZE;Size
POPUP_MEDIA_MSG_SELECT_FOLDER;"Please select a folder"
POPUP_MEDIA_MSG_SELECT_MEDIA;"Please select a file"
POPUP_MEDIA_VIDEO;Video
POPUP_REF_USED;"This value is used."
POPUP_RUBRIQUE_DATA;"Rubriques :"
POPUP_RUBRIQUE_DATA_AUTRE_SITE;"Rubriques (others sites) : "
POPUP_SEARCH_EMPTY;"Enter something to search."
POPUP_SEARCH_LIMIT;"More than 100 values were found. 
Be more specific."
POPUP_SEARCH_NOFOUND;"Nothing was found."
POPUP_SEARCH_TITLE;Search
POPUP_SEARCH_WAIT;"Searching ..."
POPUP_SPECIAL_CHARS_TITLE;"Special Characters"
POPUP_TABLE_BASELINE;Baseline
POPUP_TABLE_CELL;Cell
POPUP_TABLE_CELL_PROPERTIES;"Properties of cell"
POPUP_TABLE_COLUMNS;Columns
POPUP_TABLE_LINE;Line
POPUP_TABLE_LINES;Lines
POPUP_TABLE_LINE_PROPERTIES;"Line Properties"
POPUP_TABLE_NOWRAP;"No newline"
POPUP_TABLE_TABLE_PROPERTIES;"Properties Table"
POPUP_TABLE_TITLE;"Properties Table / Row / Cell"
POPUP_TEMPLATES_TITLE;Models
POPUP_UPLOAD_ALREADY_EXISTS;"The file already exists in "
POPUP_UPLOAD_ATTACHED;Attachment
POPUP_UPLOAD_IMPOSSIBLE;"Can not copy file."
POPUP_UPLOAD_NO_FILE;"The file you sent has a size zero"
POPUP_UPLOAD_PART_ONLY;"Sending the file has been interrupted during transfer"
POPUP_UPLOAD_REPLACE;"File already exists: you can either replace or rename the transferred file"
POPUP_UPLOAD_SEND;Send
POPUP_UPLOAD_TITLE;"File Transfer"
POPUP_UPLOAD_TOO_BIG;"The file exceeds the limit in the form Pelican_Html"
POPUP_UPLOAD_TOO_BIG_PHP;"The file exceeds the limit allowed by the server (php.ini)"
POPUP_UPLOAD_WRONG_TYPE;"File type not allowed"
POPUP_VERSION;Version
POP_IN;Pop'in
POSITION_IMG;"Image place"
"Postal code";"Zip code"
posted;published
POUVONS_NOUS_VOUS_AIDER;"Can we help us?"
preprod;preprod
PREPROD_SITE;"Website preproduction"
"Preserve DNS";"Preserve the DNS"
PRESS_ARTICLES_TAB;"Articles de presse"
PRESS_ARTICLE_MEDIA_ONLINE;"En ligne"
PRESS_ARTICLE_MEDIA_PRINT;Imprim
PRESS_ARTICLE_MEDIA_RADIO;Radio
PRESS_ARTICLE_MEDIA_TV;TV
PRESS_RELEASES_TAB;Communiqu
Preview;Preview
PREVIEW_MDP;Password
PRICE;Prix
PRINT_ICONE;"Print icon"
PRINT_PAGE;"Imprimer la page"
PRIX;Price
PRODUCTS;Produits
PRODUCT_ARCHIVED;"Ce produit a "
PRODUCT_COLOR_COLLECTION;"Collection couleur"
PRODUCT_DATASHEETS_AND_CERTIFICATES;"Fiches techniques et certificats"
PRODUCT_DATA_SHEET;"Fiche produit"
PRODUCT_DESCRIPTION;Description
PRODUCT_DESC_100_WORDS;"Description de 100 mots"
PRODUCT_DESC_25_WORDS;"Description de 25 mots"
PRODUCT_DESC_50_WORDS;"Description de 50 mots"
PRODUCT_DESC_AWARD;R
PRODUCT_DESC_CORE_DIFF;"Justification de l'achat"
PRODUCT_DESC_LANDINGPAGE;Activit
PRODUCT_DESC_NEWS;Actualit
PRODUCT_DESC_PACKAGE_CONTENTS;Contenu
PRODUCT_DESC_SALES_BENEFITS;"Arguments de vente"
PRODUCT_DESC_SAMPLE_AD_COPY;"Echantillon publicitaire"
PRODUCT_DESC_SHELF_CARD_COPY;"Affiche de rayon"
PRODUCT_EMBARGO_DATE;"Date de l'embargo"
PRODUCT_FEATURES;Fonctions
PRODUCT_IMAGES;Images
PRODUCT_INFORMATION_TITLE;"Produits connexes"
PRODUCT_LAUNCH_DATE;"Date de lancement du produit"
PRODUCT_LOGISTIC_INFO;"Info logistique"
PRODUCT_MODEL;"PRODUCT_MODEL - N/A"
PRODUCT_NAME;"Nom du produit"
PRODUCT_NAME_IN_SEARCH_AREA;"Saisir nom de produit / num"
PRODUCT_PART_NUMBER;Num
PRODUCT_QTY;"PRODUCT_QTY - to be translated"
PRODUCT_RELATED_PRODUCTS;"Produits connexes"
PRODUCT_REQUIRED_OFFER_PRICE;"PRODUCT_REQUIRED_OFFER_PRICE - to be translated"
PRODUCT_REQUIREMENTS;"PRODUCT_REQUIREMENTS - to be translated"
PRODUCT_TYPE;"Product type"
PRODUCT_TYPE_ALL;All
PRODUCT_TYPE_BUSINESS;"Business product"
PRODUCT_TYPE_RETAIL;"Retail product"
PRODUCT_TYPE_RETAIL_RECOMMENDED_FOR_BUSINESS;"Retail product recommended for business"
PRODUCT_UNIFYING;Unifying
PROD_SITE;"Website production"
PROFIL;Profile
PROFILE;Profile
Profiles;"Profile (s)"
PROFILS;Profils
Protocole;"HTTPS protocol"
PSA_INTEGRATION;INTEGRATION
PSA_PREPROD;PREPRODUCTION
PSA_PROD;PRODUCTION
PSA_RECETTE;RECETTE
Pub;Pub
Public;Public
PUBLICATION;Publication
"Publication state";"State publication"
PUBLICATION_BY;"by "
PUBLICATION_DATE;"Publication date"
PUBLICATION_DATE_VIEWED;"Showing date"
PUBLICATION_ON;"the "
PUBLIC_TITLE;"Public title"
PUBLIE;Publié
PUSH;Push
PUSH_ASSOCIE;"Associate push"
PUSH_CONTENU_ANNEXE;"Push de contenu annexe"
PUSH_MEDIA;"Push Media"
PUSH_OUTILS_MAJEUR;"Push d'outils Majeur"
PUSH_OUTILS_MINEUR;"Push d'outils Mineur"
PUSH_VEHICULE_UTILITAIRE;"Push : véhicule utilitaire"
Question;Question
QUE_RECHERCHEZ_VOUS;Search
QUICKLINKS_BUBBLE_TEXT;"Ajouter "
QUICKLINKS_INFOS;"Pour ajouter une page "
QUICKLINKS_TITLE;"Liste "
Raccourcis/Alias;"Shortcuts / Alias (code 200)"
RATING;Note
Recent_comment;"Commentaires r"
"Rechercher dans :";"Rechercher dans :"
"Rechercher les medias nommés ou avec l'id";"Search with name or ID"
RECHERCHE_RATIO;Ratio
RECOMMENDED_PRODUCTS;"Nous recommandons"
RECOMMENDED_RETAIL_PRICE;"Prix recommand"
RECUPERATION_AUTOMATIQUE;"Récupération automatique"
Redirections;"Redirects (code 301)"
"Reference data";Baseline
"Reference table";"Reference tables"
Refernce;Reference
REGISTER;S'incrire
REGISTRATION;Inscription
REGISTRATION_CONFIRMATION;"Votre demande d'inscription a "
REGISTRATION_LOGIN_EXIST;"Cet identifiant existe d"
REGROUPEMENT_DEFAUT_GALERIES_MEDIA;"default group (media gallery)"
REGROUPEMENT_DEFAUT_PUBLIC;"Default group"
REMEMBER_ME;"Se souvenir de moi"
REMONTEE_AUTO;"Auto ascent"
REMOVE;Supprimer
REMOVED;Supprim
REPEAT_PASSWORD;"Confirmation du mot de passe"
REQUEST_FORM_COMMENT;Commentaires
REQUEST_FORM_SUCCESS;"Votre demande a "
REQUEST_HELP;Aide
REQUEST_SELECTED_ITEMS;"Demander les "
RESEAUX_SOCIAUX;"Réseaux sociaux"
RESET_LIST;R
REST_TRASH;Restore
RESULTS;R
RESULTS_FOUND;r
RESULTS_GSA;"Résultat trouvé pour"
RESULTS_OF;R
RESULTS_ORDERED_BY;R
RESULTS_PER_PAGE;"Nombre de r"
"Robots seo";Robots
ROLE;Role
ROLES;R
ROLL_OVER;"Roll over"
"Root directory";Root
ROOT_FOLDER;"Root folder"
ROUGE;Red
RSS_FEED;"Flux RSS"
RUBRIQUE;Topic
RUBRIQUES;Topics
RUBRIQUES_FAQ;"Rubriques des FAQ"
SAVE_CSV_TRAD_FO;"Enregistrer CSV"
SAVE_DNS;"Save DNS"
SAVE_MY_QUICKLINKS;"Enregistrer ma liste "
SCHEDULING_BLOC;"Programmable block"
SEARCH;Rechercher
SEARCH_PRODUCTS_BY_FEATURE;"Rechercher des produits par fonction"
SEARCH_PRODUCTS_BY_RETAIL_NAME_PART_NUMBER;"Rechercher des produits par nom / num"
SEARCH_PRODUCTS_NO_FEATURE_AVAILABLE;"Pas de fonctions disponibles pour la s"
SEARCH_PRODUCTS_PLEASE_SELECT_CAT;"Veuillez s"
SEARCH_URL;"Search Url"
SECOND_NAME;Lastname
SECTION;Section
See;See
SEE_MORE;"Pour en savoir plus"
SEIZE_NEUVIEME;16/9
"Selected blocs";"Selected blocks"
SELECTION_VEHICULES;"vehicles choose"
SELECT_YOUR_BUSINESS_PROFILE;"Veuillez s"
SELECT_YOUR_POSITION;"Veuillez choisir votre poste"
Send;Sending
SEND_REQUEST;"Envoyer la demande"
SEO;SEO
SERVICES;Services
"Services included in package";"Services included in the package"
SETTINGS;Settings
SHARER_TITLE;"Titre sharer"
"Short Content";R
SHORTCUT;Shortcut.
SHORT_ADDRESS;"Short address"
SHORT_TITLE;"Short title"
SHOW_ALL;"Voir tout"
SHOW_ASSISTANCE;Assistance
SHOW_PIC;"Display pic"
SHOW_VIDEO;"Video display"
SITE;Site
"Site languages";"The site's languages"
Site(s);Site(s)
Sites;Sites
SITES_APPLICATIONS_MOBILES;"Mobiles sites"
SITE_LANGS;"Site langs"
SIZE;Taille
SLIDE_OFFRE_ADD_FORM;Offer
SOCIAL_GROUP;"Social group"
SORT_LIST;"Trier par"
SOUS_TITRE;Subtitle
START;Beginning
"Start hour";"Start time"
"Start state";"State of departure"
START_DATE_VIEWING;"Start showing date"
State;Status
Statistics;Statistics
STATISTIQUES;Statistiques
STREET;"STREET - N/A"
SUBJECT_CONTACT_MAIL;Sujet
Subscribe;Subscribe
"Subscribers list";"List of subscribers"
"Subscribers profiles";"Subscriber profiles"
SUBSCRIBER_PROFIL;"Subscriber profile"
SUBSCRIPTION_DATE;"Registration Date"
Subtitle;"Sub title"
SUCCES_IMPORT;"Import effectué"
SUIVRE;Follow
Sup.;Del.
Suppression;Suppression
SUPP_IMPOS;"Can not delete"
SUR_TWITTER;"On twitter"
TABLE;Table
TABLEAUX_DE_BORD;"Tableaux de bord"
TABLES_DE_REFERENCE;"Tables de r"
TABLES_SYSTEME;"Tables syst"
TABLE_FILTER_ALL;All
TABLE_FORMAT_DAY;d.
TABLE_FORMAT_HOUR;h.
TABLE_NO_RECORD;"No record"
TABLE_PAGE_NEXT;next
TABLE_PAGE_PREV;prev.
TABLE_RECORDS;records
TABLE_REFERENCES;"References' tables"
"Tag http";"Http tag"
"Tag https";"Https tag"
"Tag identifier";"ID Tag"
"Tag type";"Tag type"
TAGS;Tags
TAG_PAGE;"TAG used in a page"
TAILLE;Taille
TARIF_APP;Price
TAXONOMIE;Taxonomie
Taxonomy;Taxonomy
TECHNICAL_SPECIFICATIONS;Sp
TEMPLATE;Template
"Template groups";"Groups templates"
"Template type";"Types of templates"
TEMPLATES;Templates
TEMPLATE_TYPES;"Template types"
TENDER_DOCUMENTS_AVAILABLE;"TENDER_DOCUMENTS_AVAILABLE - N/A"
tete;tete
TEXTE;Text
TEXTE_IN_PAGE;"Text in page"
TEXTE_NOTIFICATION;"Notification text"
THEMES;Themes
THEMES_D_ACTUALITES;"Thèmes d'actualités"
THEMES_TECHNOLGIES;"Technologie themes"
THEMES_TECHNOLOGIE;"Thèmes Technologie"
THEMES_TECHNOLOGIES;"Thèmes Technologie"
TITLE;Title
TITRE;Title
"Titre des pages";"Page Title"
TITRE_BLOC_AUTRES_VEHICULES;"Titre du bloc ""Autres véhicules"""
TITRE_COL;"Column title"
TITRE_COLONNE;"Column title"
TITRE_COURT;"Short title"
TITRE_LONG;Title
TITRE_ONGLET;"Titre de l'onglet"
TOP_PRODUCT;"TOP_PRODUCT - to be translated"
Town;City
TRADUCTION_BO;"Traduction BO"
TRADUCTION_FO;"Traduction FO"
TRASH_PAGE;Trash
TYPE;Type
TYPES_DE_CONTENU;"Types de contenu"
TYPES_DE_MARQUEURS;"Types de marqueurs"
TYPE_CONTENU_ASSOCIE;"Type Related Content"
TYPE_DE_GABARIT;"Type de gabarit"
TYPE_D_AFFICHAGE;Display
TYPE_EXPAND;"Expand type"
TYPE_EXPORT;"Type export"
TYPE_EXPORT_OBLIGATOIRE;"Type export obligatoire"
TYPE_OF_INFORMATION;"Nature des informations"
TYPE_REGROUPEMENT_RESEAUX_SOCIAUX;"Type de regroupement de réseaux sociaux"
TYPE_RESEAU;"Network type"
TYPE_VIDEO;"Video type"
"Unabled until";"Active from"
UNE_UTILISATION;"One use"
UNIQUEMENT_MOBILE;"Uniquement Mobile"
UNIQUEMENT_WEB_TABLETTE;"Uniquement Web / Tablette"
UNITE_LARGEUR;"Width unit"
Until;Until
Upd.;Upd.
UPDATES;Actualit
UPLOAD_FILE_TRAD_FO;"Importer le fichier"
UPLOAD_VAT_CERTIFICATE;"UPLOAD_VAT_CERTIFICATE - N/A"
UPLOAD_VAT_TEXT_EMAIL_REMINDER;"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
URL;Url
"URL claire";"Clear URL"
"URL extranet";"URL extranet"
"URL principale";"Main URL"
"Url update";"Update URL"
URLS;Url(s)
URL_BOUTIQUE_ACCESSOIRE;"URL de la boutique accessoire"
URL_BOUTIQUE_ACCESSOIRE_MOBILE;"URL de la boutique accessoire mobile"
URL_CONFIGURATEUR;"URL du configurateur"
URL_CONFIGURATEUR_MOBILE;"URL du configurateur mobile"
URL_DEMANDE_BROCHURE;"URL demande de brochure"
URL_DEMANDE_BROCHURE_MOBILE;"URL demande de brochure mobile"
URL_DEMANDE_ESSAI;"URL demande d’essai"
URL_DEMANDE_ESSAI_MOBILE;"URL demande d’essai mobile"
URL_DEMANDE_OFFRE_COMMERCIALE;"URL demande d’offre commerciale"
URL_DEMANDE_OFFRE_COMMERCIALE_MOBILE;"URL demande d’offre commerciale mobile"
URL_EXTERNE;"URL externe"
URL_MOB;"url web"
URL_MOBILE;"mobile url"
URL_PAGE_ABONNEMENT_NEWSLETTER;Link
URL_SETTING;"URL settings"
URL_WEB;"Web url"
User;Utilisateur
Users;Users
USER_NAME;Username
USER_YOUTUBE;"Youtube user id"
UTILISATEUR;User
UTILISATEURS;Utilisateurs
Valider;Valider
VAT_NUMBER;Num
VEHICULES_100;"Véhicules 100%"
VEHICULE_COLOURS;"une teinte"
VEHICULE_COULEUR_LABEL_BCKGRD_WEB;"Visuel de fond WEB"
VEHICULE_COULEUR_LABEL_CAR_MOB;"Visuel véhicule mobile"
VEHICULE_COULEUR_LABEL_CAR_WEB;"Visuel véhicule WEB"
VEHICULE_COULEUR_LABEL_CODE;"Code de la couleur"
VEHICULE_COULEUR_LABEL_CODELCDV;"Code LCDV de la version"
VEHICULE_COULEUR_LABEL_NAME;"Libellé de la couleur"
VEHICULE_COULEUR_LABEL_PICTO;"Picto de couleur"
VEHICULE_LABEL_ASSOCCRITTYPE;"Filtre de type"
VEHICULE_LABEL_CASHPRICE;"Prix comptant"
VEHICULE_LABEL_CASHPRICETYPE;"Type de prix comptant"
VEHICULE_LABEL_CASHPRICE_LM;"Mention légale prix comptant"
VEHICULE_LABEL_CASHPRICE_LM_EX;"Exemple : «Tarif CITROËN TTC conseillé en vigueur »"
VEHICULE_LABEL_CREDITPRICE_FR;"Prix à crédit : premier loyer"
VEHICULE_LABEL_CREDITPRICE_FR_EX;"Exemple : « après un premier loyer de 2.865,00 €»"
VEHICULE_LABEL_CREDITPRICE_FR_LM;"Mentions légales premier loyer"
VEHICULE_LABEL_CREDITPRICE_FR_LM_EX;"Exemple : « Un crédit vous engage et doit être remboursé. Vérifiez vos capacités de remboursement av"
VEHICULE_LABEL_CREDITPRICE_NR;"Prix à crédit : Loyer suivant/à partir de"
VEHICULE_LABEL_CREDITPRICE_NR_EX;"Exemple : « 500€/mois »"
VEHICULE_LABEL_CREDITPRICE_NR_LM;"Mention légale loyer suivant"
VEHICULE_LABEL_DISPLAYCASHPRICE;"Prix comptant"
VEHICULE_LABEL_DISPLAYCREDITPRICE;"Prix à crédit"
VEHICULE_LABEL_DISPLAYPRICE;"Affichage des prix"
VEHICULE_LABEL_GAMME;Gamme
VEHICULE_LABEL_GAMMECONFIG;"Code gamme (via le configurateur)"
VEHICULE_LABEL_GAMMEMANUAL;"Code gamme (manuel)"
VEHICULE_LABEL_GAMMEVP;"Véhicule particulier"
VEHICULE_LABEL_GAMMEVU;"Véhicule utilitaire"
VEHICULE_LABEL_LCDV6CONFIG;"Code LCDV (via le configurateur)"
VEHICULE_LABEL_LCDV6CONFIGRELOAD;"Si un code LCDV est sélectionné, merci d'enregistrer le véhicule pour le rechargement des données pr"
VEHICULE_LABEL_LCDVCONFIG;"Code LCDV (via le configurateur)"
VEHICULE_LABEL_LCDVMANUAL;"Code LCDV (manuel)"
VEHICULE_LABEL_MEDIAWEB;"Visuel de fond WEB"
VEHICULE_LABEL_NAME;"Nom du véhicule"
VEHICULE_LABEL_THUMBNAIL;"Vignette véhicule"
VEHICULE_LABEL_USEFINANCIALSIMULATOR;"Utiliser le Simulateur Financier Groupe"
VEHICULE_LABEL_USEFINANCIALSIMULATOR_RELOAD;"Si vous coché la case, merci d'enregistrer les informa"
VEHICULE_LIST_GAMMECONFIG;"Gamme (config)"
VEHICULE_LIST_GAMMEMANUAL;Gamme
VEHICULE_LIST_LCDV6CONFIG;"LCDV6 (config)"
VEHICULE_LIST_LCDV6MANUAL;LCDV6
VEHICULE_NAME;"Nom du véhicule"
vers;vers.
VERSION;Version
versions;versions
VIDEO;Video
VIDEOS;Videos
VIEW;View
VIGNETTE_VIDEO;Image
VIRTUAL_KEYBOARD;"Virtual Keyboard"
Visual;Visual
Visual1;"Visual 1"
Visual2;"Visual 2"
VISUEL;Visual
VISUEL_EXPAND;"Visuel de l'expand"
VISUEL_EXPAND_GALERIE;"Visuel de l'expand + galerie"
VISUEL_PORTRAIT__2_VISUELS_16_9_EMPILES;"1 visual portrait + 2 visual  16/9 stacked"
VOIR_VERSION_MOBILE_SITE;"Voir la version mobile du site"
Vote;Voter
VOTRE_EMAIL;"Votre email"
VOUS_DEVEZ_AJOUTER_UNE_GALLERIE;"You must add a gallery"
WANTED_TO_OFFER;"WANTED_TO_OFFER - N/A"
WARRANTY;Garantie
WEB;Web
WEB_TABLETTE_MOBILE;"Web / Tablette + Mobile"
WEB_TAB_MOBILE;"Web / Tab + Mobile"
WORKFLOW;Workflow
WRONG_LOGIN;"Username or password incorrect."
YES;Oui
YOUR_COMMENT;Commentaires
YOUR_E_MAIL_ADDRESS_LABEL;"Votre adresse e-mail"
YOUR_POSITION;"Votre poste"
YOUR_POSITION_MARKETING;Marketing
YOUR_POSITION_OTHER;Autre
YOUR_POSITION_OWNER;G
YOUR_POSITION_SALES;Ventes
YOUR_POSITION_SHOP_MANAGER;"Responsable de boutique"
ZIP_CODE;"Code postal"
Zone;Zone
"Zone category";"Area category"
"Zone type";"Type of area"
ZONES;Zones
ZONE_TYPES;"Zone types"
