"Cl&eacute; de traduction",Traduction
SEE_MORE,Mehr
SELECT_YOUR_BUSINESS_PROFILE,"Wählen Sie Ihr Business-Profil"
SELECT_YOUR_POSITION,"Wählen Sie Ihre Position"
SEND_REQUEST,"Anfrage senden"
SETTINGS,Einstellungen
SHOW_ALL,"Alle ansehen"
SIZE,Grösse
SORT_LIST,"Sortiern nach"
STREET,Straße
SUBJECT_CONTACT_MAIL,Betreff
TECHNICAL_SPECIFICATIONS,"Technische Daten"
TENDER_DOCUMENTS_AVAILABLE,"Ausschreibungsunterlagen vorhanden"
TOP_PRODUCT,"TOP_PRODUCT - to be translated"
TYPE_OF_INFORMATION,Informationsarten
UPDATES,Updates
UPLOAD_VAT_CERTIFICATE,Gewerbeschein
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
VAT_NUMBER,USt-Nummer
WANTED_TO_OFFER,"Gewünschtes Angebot bis"
WARRANTY,Garantie
YES,Ja
YOUR_COMMENT,Anmerkung
YOUR_E_MAIL_ADDRESS_LABEL,"Ihre E-Mail-Adresse"
YOUR_POSITION,"Ihre Position"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Sonstiges
YOUR_POSITION_OWNER,Eigentümer
YOUR_POSITION_SALES,Verkauf
YOUR_POSITION_SHOP_MANAGER,Shop-Manager
ZIP_CODE,PLZ
